FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187d53d4470_dda,5334002,1396,Hohenzollernplatz
strassennamen.fid--3213a59_187d53d4470_ddb,5334002,1398,Holsteinstraße
strassennamen.fid--3213a59_187d53d4470_ddc,5334002,1399,Holzgraben
strassennamen.fid--3213a59_187d53d4470_ddd,5334002,1401,Horngasse
strassennamen.fid--3213a59_187d53d4470_dde,5334002,1403,Hubertusplatz
strassennamen.fid--3213a59_187d53d4470_ddf,5334002,1404,Hubertusstraße
strassennamen.fid--3213a59_187d53d4470_de0,5334002,1406,Hühnermarkt
strassennamen.fid--3213a59_187d53d4470_de1,5334002,1408,Hünefeldstraße
strassennamen.fid--3213a59_187d53d4470_de2,5334002,1410,Hüttenstraße
strassennamen.fid--3213a59_187d53d4470_de3,5334002,1412,Im Brockenfeld
strassennamen.fid--3213a59_187d53d4470_de4,5334002,1415,Im Gillesbachtal
strassennamen.fid--3213a59_187d53d4470_de5,5334002,1416,Im Grüntal
strassennamen.fid--3213a59_187d53d4470_de6,5334002,1418,Im Johannistal
strassennamen.fid--3213a59_187d53d4470_de7,5334002,1421,Im Mariental
strassennamen.fid--3213a59_187d53d4470_de8,5334002,1422,Coudenhovestraße
strassennamen.fid--3213a59_187d53d4470_de9,5334002,1423,In den Heimgärten
strassennamen.fid--3213a59_187d53d4470_dea,5334002,1424,In den Küpperbenden
strassennamen.fid--3213a59_187d53d4470_deb,5334002,1425,In den Zwanzigmorgen
strassennamen.fid--3213a59_187d53d4470_dec,5334002,1426,Krantzstraße
strassennamen.fid--3213a59_187d53d4470_ded,5334002,1428,Intzestraße
strassennamen.fid--3213a59_187d53d4470_dee,5334002,1430,Jägerstraße
strassennamen.fid--3213a59_187d53d4470_def,5334002,1432,Jahnplatz
strassennamen.fid--3213a59_187d53d4470_df0,5334002,1433,Jahnstraße
strassennamen.fid--3213a59_187d53d4470_df1,5334002,1434,Jakobsplatz
